province,year,government_turnover,party_turnover,new_government_leader_names,new_party_leader_names,any_top_leader_turnover,joint_top_leader_turnover,leadership_data_observed,years_since_party_turnover,years_since_government_turnover
Jiangsu,2005,0.0,0.0,,,0.0,0.0,1,3.0,3.0
Jiangsu,2006,0.0,0.0,,,0.0,0.0,1,4.0,4.0
Jiangsu,2007,0.0,1.0,,梁保华,1.0,0.0,1,0.0,5.0
Jiangsu,2008,1.0,0.0,罗志军,,1.0,0.0,1,1.0,0.0
Jiangsu,2009,0.0,0.0,,,0.0,0.0,1,2.0,1.0
Jiangsu,2010,1.0,1.0,李学勇,罗志军,1.0,1.0,1,0.0,0.0
Jiangsu,2011,0.0,0.0,,,0.0,0.0,1,1.0,1.0
Jiangsu,2012,0.0,0.0,,,0.0,0.0,1,2.0,2.0
Jiangsu,2013,0.0,0.0,,,0.0,0.0,1,3.0,3.0
Jiangsu,2014,0.0,0.0,,,0.0,0.0,1,4.0,4.0
Jiangsu,2015,1.0,0.0,石泰峰,,1.0,0.0,1,5.0,0.0
Jiangsu,2016,0.0,1.0,,李强,1.0,0.0,1,0.0,1.0
Jiangsu,2017,1.0,1.0,吴政隆,娄勤俭,1.0,1.0,1,0.0,0.0
Jiangsu,2018,0.0,0.0,,,0.0,0.0,1,1.0,1.0
Jiangsu,2019,,,,,,,0,,
Jiangsu,2020,,,,,,,0,,
Jiangsu,2021,,,,,,,0,,
Jiangsu,2022,,,,,,,0,,
Jiangsu,2023,,,,,,,0,,
Jiangxi,2000,0.0,0.0,,,0.0,0.0,1,,
Jiangxi,2001,1.0,1.0,黄智权,孟建柱,1.0,1.0,1,0.0,0.0
Jiangxi,2002,0.0,0.0,,,0.0,0.0,1,1.0,1.0
Jiangxi,2003,0.0,0.0,,,0.0,0.0,1,2.0,2.0
Jiangxi,2004,0.0,0.0,,,0.0,0.0,1,3.0,3.0
Jiangxi,2005,0.0,0.0,,,0.0,0.0,1,4.0,4.0
Jiangxi,2006,1.0,0.0,吴新雄,,1.0,0.0,1,5.0,0.0
Jiangxi,2007,0.0,1.0,,苏荣,1.0,0.0,1,0.0,1.0
Jiangxi,2008,0.0,0.0,,,0.0,0.0,1,1.0,2.0
Jiangxi,2009,0.0,0.0,,,0.0,0.0,1,2.0,3.0
Jiangxi,2010,0.0,0.0,,,0.0,0.0,1,3.0,4.0
Jiangxi,2011,1.0,0.0,鹿心社,,1.0,0.0,1,4.0,0.0
Jiangxi,2012,0.0,0.0,,,0.0,0.0,1,5.0,1.0
Jiangxi,2013,0.0,1.0,,强卫,1.0,0.0,1,0.0,2.0
Jiangxi,2014,0.0,0.0,,,0.0,0.0,1,1.0,3.0
Jiangxi,2015,0.0,0.0,,,0.0,0.0,1,2.0,4.0
Jiangxi,2016,0.0,1.0,,刘奇,1.0,0.0,1,0.0,5.0
Jiangxi,2017,0.0,0.0,,,0.0,0.0,1,1.0,6.0
