lower_threshold_percent,upper_threshold_percent,middle_vs_low_coefficient,middle_vs_low_standard_error,middle_vs_low_p,high_vs_low_coefficient,high_vs_low_standard_error,high_vs_low_p,sse,low_observations,middle_observations,high_observations
60.78,88.74,-0.03445453361072367,0.024581055290264293,0.1610137421107384,-0.05829669086738037,0.03449312699539292,0.09100961828264405,0.11222763677531264,30,111,60
84.37,90.49000000000001,-0.018794775436508596,0.012585453169070645,0.13533958728211104,-0.04150979380424567,0.01580917943338476,0.008647691556085503,0.11225433087920036,118,32,51
84.37,91.8,-0.021208152687463577,0.012776102260229492,0.09691724062660433,-0.04389618458454765,0.016710492372021928,0.008617586338233448,0.11227121632131996,118,38,45
84.37,91.36,-0.021208152687463577,0.012776102260229492,0.09691724062660433,-0.04389618458454765,0.016710492372021928,0.008617586338233448,0.11227121632131996,118,38,45
86.11999999999999,92.23,-0.016746333762028002,0.013844213518403302,0.2264220723742483,-0.040408572245166786,0.017350729533148566,0.01986296454923969,0.11240348488701096,126,31,44
86.11999999999999,92.67,-0.016746333762028002,0.013844213518403302,0.2264220723742483,-0.040408572245166786,0.017350729533148566,0.01986296454923969,0.11240348488701096,126,31,44
78.25,89.61,0.02300291209602855,0.009380576918693736,0.014199155151762682,0.00738629402823178,0.01603548513194502,0.6450699682578982,0.11243335779634964,82,63,56
76.94,91.36,0.02047368789244691,0.012634885363956336,0.10514434700921825,0.003337389035441619,0.016928517423058433,0.8437133082263157,0.11247030593028713,79,77,45
76.94,91.8,0.02047368789244691,0.012634885363956336,0.10514434700921825,0.003337389035441619,0.016928517423058433,0.8437133082263157,0.11247030593028713,79,77,45
78.25,84.37,0.02615998321148634,0.009201195924705276,0.00446760892544136,0.00942251743320022,0.016393641326009213,0.5654491605219989,0.11250060876175574,82,36,83
84.37,90.92,-0.020945285394339656,0.01277651820834879,0.10113875493025268,-0.04266063842672208,0.01670220236492688,0.010643442415729832,0.11251354937026942,118,36,47
60.34,91.36,-0.025045008391380734,0.021421208019275682,0.24233562293986774,-0.04915418598796995,0.027617881642279175,0.07510940754628385,0.11254898542667197,27,129,45
60.34,91.8,-0.025045008391380734,0.021421208019275682,0.24233562293986774,-0.04915418598796995,0.027617881642279175,0.07510940754628385,0.11254898542667197,27,129,45
59.9,92.67,-0.0208064073564945,0.02416388345779713,0.38920832880792594,-0.04626156137475832,0.029921842168440866,0.12208525125753968,0.11257433885561603,24,133,44
59.9,92.23,-0.0208064073564945,0.02416388345779713,0.38920832880792594,-0.04626156137475832,0.029921842168440866,0.12208525125753968,0.11257433885561603,24,133,44
76.94,89.18,0.01970815233117004,0.012876564291200496,0.12588205201157043,0.0015584176420589348,0.01950806276236583,0.936328065676991,0.11259487380941842,79,64,58
60.34,89.18,-0.023951677500226004,0.021532397424086986,0.2659853937343316,-0.049513894378218064,0.02904801845533893,0.08827777598392865,0.11261922307668568,27,116,58
83.93,90.49000000000001,-0.01780079069876044,0.012942487263716822,0.1690148018003207,-0.04118486361836837,0.016408238410158694,0.012072730252274979,0.11266456568174815,116,34,51
76.94,90.92,0.020286382198328557,0.01272281659645416,0.11082670934982489,0.004161044743721834,0.01731680746392977,0.8101059357032193,0.1127184565874116,79,75,47
78.25,90.05,0.023444964140793716,0.009297617597334815,0.01168191936116564,0.009576317529776703,0.015253563560317943,0.5301293683429026,0.11273332640856543,82,66,53
59.9,90.49000000000001,-0.021054997248380527,0.0241342499540224,0.38298392805435355,-0.0455669836071888,0.029544041282037546,0.12299077179114158,0.11274195949374788,24,126,51
85.24000000000001,92.23,-0.016175390488376004,0.015413421515485479,0.2939777632119492,-0.041457899598223324,0.019761942575554223,0.035917019216087635,0.11275804471201334,122,35,44
85.24000000000001,92.67,-0.016175390488376004,0.015413421515485479,0.2939777632119492,-0.041457899598223324,0.019761942575554223,0.035917019216087635,0.11275804471201334,122,35,44
