province,date,value
上海,20120831,35803.1
上海,20120930,36028.4
上海,20121031,35940.1
上海,20121130,36230.4
上海,20121231,36485.9
上海,20130131,36951.4
上海,20130228,37192.3
上海,20130331,37330.7
上海,20130430,37533.9
上海,20130531,37569.3
上海,20130630,38023.4
上海,20130731,38343.9
上海,20130831,38767.9
上海,20130930,39088.2
上海,20131031,39388
上海,20131130,39833.3
上海,20131231,39748.6
上海,20140131,40553.4
上海,20140228,40848.72
上海,20140331,41239.3
上海,20140430,41385.88
上海,20140531,41560.42
上海,20140630,41934.97
上海,20140731,41993.76
上海,20140831,42170.37
上海,20140930,42335.71
上海,20141031,42461.74
上海,20141130,42849.16
上海,20141231,43227.33
上海,20150131,43960.32
上海,20150228,44408.16
上海,20150331,44892.95
上海,20150430,45106.75
上海,20150531,45642
上海,20150630,46151.6
上海,20150731,46175.8
上海,20150831,46701.4
上海,20150930,47469.93
上海,20151031,47412.57
上海,20151130,47525.89
上海,20151231,48090.8
上海,20160131,50005.25
上海,20160229,50326.91
上海,20160331,51030.19
上海,20160430,51118.54
上海,20160531,51591.93
上海,20160630,51831.7
上海,20160731,51270.96
上海,20160831,51423.86
上海,20160930,52386.18
上海,20161031,52905.1
上海,20161130,53568.56
上海,20161231,53985.1
上海,20170131,55310.75
上海,20170228,56038.96
上海,20170331,56937.1
上海,20170430,57521.94
上海,20170531,58110.59
上海,20170630,58853.19
上海,20170731,59022.17
上海,20170831,59590
上海,20170930,60174
上海,20171031,60571
上海,20171130,60926
上海,20171231,61189
上海,20180630,65498.36
上海,20180731,65619.25
上海,20180930,66887.74
上海,20181031,66871.37
上海,20181130,67281.17
上海,20181231,67567.94
上海,20190131,70100
上海,20190228,69900
上海,20190331,70684.07
上海,20190430,70700
上海,20190531,70900
上海,20190630,71884.31
上海,20190731,72000
上海,20190831,72147.1
上海,20190930,72596.08
上海,20191031,72516.11
上海,20191130,73102.53
上海,20191231,73823.66
上海,20200131,73167.6
上海,20200229,73055.94
上海,20200331,73925.07
上海,20200430,74129.19
上海,20200531,74376.03
上海,20200630,75312.91
上海,20200731,75229.2
上海,20200831,75651.8
上海,20200930,76699.39
上海,20201130,77325.58
上海,20201231,78000
上海,20210131,80195.74
上海,20210331,81644.75
上海,20210430,82019.17
上海,20210531,82669.47
上海,20210630,83659.77
上海,20210731,83684.03
上海,20210831,84101.45
上海,20210930,85348.14
上海,20211031,85705.34
上海,20211130,86787.49
上海,20211231,88260.13
上海,20220131,90237.79
上海,20220228,90385.89
上海,20220331,91632.8
上海,20220430,91068.17
上海,20220531,91013.27
上海,20220630,92881.27
上海,20220731,93042.02
上海,20220831,93674.42
上海,20220930,95154.5
上海,20221031,95297.82
上海,20221130,96092.47
上海,20221231,96492.58
上海,20230131,99625.55
上海,20230228,100040.85
上海,20230331,101538.37
上海,20230430,101459.03
上海,20230531,101842.4
上海,20230630,102796.04
上海,20230731,102562.23
上海,20230831,103104.95
上海,20230930,104270.48
上海,20231031,104210.86
上海,20231130,104848.98
上海,20231231,105906.6
上海,20240131,107902.39
上海,20240229,108259.82
上海,20240331,110605.56
上海,20240430,110874.17
上海,20240531,111264.99
上海,20240630,112746.49
上海,20240731,112988.71
上海,20240831,113875.07
上海,20240930,114939.32
上海,20241031,114957.86
上海,20241130,115486.98
上海,20241231,116942.11
江苏,20090131,28765.2
江苏,20090228,29839.4
江苏,20090331,31461.7
江苏,20090430,31666.9
江苏,20090531,32268
江苏,20090630,33510.5
江苏,20090731,33708.7
江苏,20090831,33903.2
江苏,20090930,34450.7
江苏,20091031,34603.5
江苏,20091130,34984.5
江苏,20091231,35296.7
江苏,20100131,36805.1
江苏,20100228,37528.3
江苏,20100331,37908.4
江苏,20100430,38589.3
