province,province_cn,year,month,technology,generation_ytd_100m_kwh,generation_monthly_100m_kwh,combined_jan_feb_flag,negative_increment_flag,wind_code,wind_name,wind_source
Anhui,安徽,2017,4,hydro,12.9,3.9000000000000004,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2017,5,hydro,17.6,4.700000000000001,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2017,6,hydro,21.8,4.199999999999999,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2017,7,hydro,26.2,4.399999999999999,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2017,8,hydro,30.4,4.199999999999999,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2017,9,hydro,34.1,3.700000000000003,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2017,10,hydro,36.9,2.799999999999997,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2017,11,hydro,39.5,2.6000000000000014,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2017,12,hydro,41.6,2.1000000000000014,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2018,2,hydro,4.7,,True,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2018,3,hydro,7.4,2.7,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2018,4,hydro,9.5,2.0999999999999996,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2018,5,hydro,13.2,3.6999999999999993,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2018,6,hydro,16.8,3.6000000000000014,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2018,7,hydro,20.1,3.3000000000000007,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2018,8,hydro,23.6,3.5,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2018,9,hydro,26.6,3.0,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2018,10,hydro,29.7,3.099999999999998,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2018,11,hydro,32.5,2.8000000000000007,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2018,12,hydro,35.2,2.700000000000003,False,False,S0075920,安徽:发电量:水力:累计值,国家统计局
Anhui,安徽,2019,2,hydro,5.7,,True,False,S0075920,安徽:发电量:水力:累计值,国家统计局
